"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2022","New Jersey","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","882,627"
"2023","New Jersey","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","854,551"
"2024","New Jersey","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","846,941"
"2012","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","108,268"
"2013","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","111,380"
"2014","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","116,031"
"2015","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","115,358"
"2016","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","124,406"
"2017","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","125,181"
"2018","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","125,058"
"2019","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","130,291"
"2020","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","151,183"
"2021","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","150,280"
"2022","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","159,230"
"2023","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","181,580"
"2024","New Mexico","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","203,771"
"2012","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","738,803"
"2013","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","762,875"
"2014","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","725,722"
"2015","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","715,587"
"2016","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","768,493"
"2017","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","830,116"
"2018","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","830,612"
"2019","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","849,469"
"2020","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","920,854"
"2021","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","883,726"
"2022","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","946,452"
"2023","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","967,836"
"2024","New York","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,028,303"
"2012","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","279,435"
"2013","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","337,972"
"2014","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","361,031"
"2015","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","431,783"
"2016","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","447,792"
"2017","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","449,106"
"2018","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","468,353"
"2019","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","490,523"
"2020","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","562,047"
"2021","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","613,412"
"2022","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","658,424"
"2023","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","592,224"
"2024","North Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","544,482"
"2012","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","23,324"
"2013","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","25,485"
"2014","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","27,378"
"2015","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","29,560"
"2016","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","29,300"
"2017","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","43,184"
"2018","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","37,613"
"2019","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","39,119"
"2020","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","41,787"
"2021","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","45,352"
"2022","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","35,702"
"2023","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","37,529"
"2024","North Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","44,631"
"2012","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","268,281"
"2013","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","284,067"
"2014","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","282,359"
"2015","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","278,873"
"2016","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","282,344"
"2017","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","309,792"
"2018","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","419,798"
"2019","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","440,715"
"2020","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","523,186"
"2021","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","521,280"
"2022","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","495,289"
"2023","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","532,233"
"2024","Ohio","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","559,212"
"2012","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","149,391"
"2013","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","154,515"
"2014","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","158,339"
"2015","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","169,802"
"2016","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","172,879"
"2017","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","170,076"
"2018","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","170,092"
"2019","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","173,481"
"2020","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","180,301"
"2021","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","187,606"
"2022","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","195,729"
"2023","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","226,076"
"2024","Oklahoma","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","241,670"
"2012","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","150,726"
"2013","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","156,216"
"2014","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","162,545"
"2015","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","169,091"
"2016","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","191,734"
"2017","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","196,288"
"2018","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","224,644"
"2019","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","233,620"
"2020","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","258,441"
"2021","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","287,060"
"2022","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","288,925"
"2023","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","337,535"
"2024","Oregon","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","315,010"
"2012","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","847,426"
"2013","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","865,266"
"2014","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","920,329"
"2015","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","960,392"
"2016","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","997,119"
"2017","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,050,021"
"2018","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,072,586"
"2019","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,116,935"
"2020","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,373,016"
"2021","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,952,991"
"2022","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,627,397"
"2023","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,597,608"
"2024","Pennsylvania","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,666,893"
"2012","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","70,509"
"2013","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","71,918"
"2014","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","77,924"
"2015","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","80,791"
"2016","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","79,128"
"2017","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","84,759"
"2018","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","88,037"
"2019","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","91,358"
"2020","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","125,575"
"2021","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","123,667"
"2022","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","124,314"
"2023","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","129,675"
"2024","Rhode Island","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","139,335"
"2012","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","146,317"
"2013","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","149,316"
"2014","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","153,669"
"2015","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","154,596"
"2016","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","166,135"
"2017","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","178,599"
"2018","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","163,425"
"2019","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","172,106"
"2020","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","207,859"
"2021","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","207,656"
"2022","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","240,934"
"2023","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","304,085"
"2024","South Carolina","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","336,470"
"2012","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","32,070"
"2013","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","33,646"
"2014","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","36,916"
"2015","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","40,299"
"2016","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","40,905"
"2017","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","45,213"
"2018","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","47,469"
"2019","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","46,568"
"2020","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","49,878"
"2021","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","53,133"
"2022","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","58,853"
"2023","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","60,272"
"2024","South Dakota","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","67,858"
"2012","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","168,721"
"2013","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","180,635"
"2014","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","191,089"
"2015","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","200,857"
"2016","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","203,545"
"2017","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","213,848"
"2018","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","217,724"
"2019","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","227,942"
"2020","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","266,586"
"2021","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","268,728"
"2022","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","299,930"
"2023","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","323,507"
"2024","Tennessee","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","436,572"
"2012","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","767,126"
"2013","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","786,411"
"2014","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","851,176"
"2015","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","951,791"
"2016","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,094,279"
"2017","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,167,717"
"2018","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,194,887"
"2019","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,061,830"
"2020","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,225,042"
"2021","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,300,906"
"2022","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,466,438"
"2023","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,706,656"
"2024","Texas","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","1,653,697"
"2012","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","139,564"
"2013","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","142,407"
"2014","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","145,607"
"2015","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","137,290"
"2016","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","143,801"
"2017","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","130,167"
"2018","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","140,327"
