"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2018","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","23,883"
"2019","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","26,536"
"2020","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","27,854"
"2021","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","30,413"
"2022","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","19,338"
"2023","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","19,098"
"2024","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","21,098"
"2012","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","11,795"
"2013","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","12,214"
"2014","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","12,111"
"2015","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","29,289"
"2016","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","26,758"
"2017","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","29,231"
"2018","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","27,452"
"2019","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","33,773"
"2020","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","34,797"
"2021","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","36,523"
"2022","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","41,518"
"2023","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","53,767"
"2024","Arizona","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","56,843"
"2012","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","374"
"2013","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,140"
"2014","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,505"
"2015","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,406"
"2016","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,456"
"2017","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,294"
"2018","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,521"
"2019","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","2,303"
"2020","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,590"
"2021","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,264"
"2022","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,896"
"2023","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","10,047"
"2024","Arkansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","7,057"
"2012","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","14,283"
"2013","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","20,466"
"2014","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","16,046"
"2015","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","19,721"
"2016","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","19,186"
"2017","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","24,818"
"2018","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","15,107"
"2019","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","39,318"
"2020","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","47,956"
"2021","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","64,874"
"2022","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","57,745"
"2023","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","125,279"
"2024","California","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","75,189"
"2012","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","7,246"
"2013","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","18,225"
