"","State","year","count"
"988","Maine",1997,1620
"989","Maine",1998,1691
"990","Maine",1999,1716
"991","Maine",2000,1679
"992","Maine",2001,1704
"993","Maine",2002,1900
"994","Maine",2003,2013
"995","Maine",2004,2024
"996","Maine",2005,2023
"997","Maine",2006,2120
"998","Maine",2007,2148
"999","Maine",2008,2195
"1000","Maine",2009,2206
"1001","Maine",2010,2154
"1002","Maine",2011,2145
"1003","Maine",2012,2108
"1004","Maine",2013,2173
"1005","Maine",2014,2242
"1006","Maine",2015,2279
"1007","Maine",2016,2404
"1008","Maine",2017,2404
"1009","Maine",2018,2425
"1010","Maine",2019,2185
"1011","Maine",2020,1714
"1012","Maine",2021,1577
"1013","Michigan",1978,14944
"1014","Michigan",1979,15002
"1015","Michigan",1980,15124
"1016","Michigan",1981,15157
"1017","Michigan",1982,14913
"1018","Michigan",1983,14510
"1019","Michigan",1984,14604
"1020","Michigan",1985,17755
"1021","Michigan",1986,20742
"1022","Michigan",1987,23879
"1023","Michigan",1988,27612
"1024","Michigan",1989,31639
"1025","Michigan",1990,34267
"1026","Michigan",1991,36423
"1027","Michigan",1992,39113
"1028","Michigan",1993,39318
"1029","Michigan",1994,40631
"1030","Michigan",1995,41112
"1031","Michigan",1996,42349
"1032","Michigan",1997,44771
"1033","Michigan",1998,45879
"1034","Michigan",1999,46617
"1035","Michigan",2000,47718
"1036","Michigan",2001,48849
"1037","Michigan",2002,50591
"1038","Michigan",2003,49358
"1039","Michigan",2004,48883
"1040","Michigan",2005,49546
"1041","Michigan",2006,51577
"1042","Michigan",2007,50233
"1043","Michigan",2008,48738
"1044","Michigan",2009,45478
"1045","Michigan",2010,44165
"1046","Michigan",2011,42940
"1047","Michigan",2012,43636
"1048","Michigan",2013,43759
"1049","Michigan",2014,43390
"1050","Michigan",2015,42628
"1051","Michigan",2016,41122
"1052","Michigan",2017,39666
"1053","Michigan",2018,38761
"1054","Michigan",2019,38053
"1055","Michigan",2020,33617
"1056","Michigan",2021,32186
"1057","Minnesota",1978,1954
"1058","Minnesota",1979,2094
"1059","Minnesota",1980,2001
"1060","Minnesota",1981,1966
"1061","Minnesota",1982,2081
"1062","Minnesota",1983,2113
"1063","Minnesota",1984,2167
"1064","Minnesota",1985,2343
"1065","Minnesota",1986,2462
"1066","Minnesota",1987,2546
"1067","Minnesota",1988,2799
"1068","Minnesota",1989,3103
"1069","Minnesota",1990,3176
"1070","Minnesota",1991,3472
"1071","Minnesota",1992,3822
"1072","Minnesota",1993,4200
"1073","Minnesota",1994,4575
"1074","Minnesota",1995,4846
"1075","Minnesota",1996,5158
"1076","Minnesota",1997,5326
"1077","Minnesota",1998,5572
"1078","Minnesota",1999,5969
"1079","Minnesota",2000,6238
"1080","Minnesota",2001,6606
"1081","Minnesota",2002,7129
"1082","Minnesota",2003,7865
"1083","Minnesota",2004,8758
"1084","Minnesota",2005,9281
"1085","Minnesota",2006,9108
"1086","Minnesota",2007,9468
"1087","Minnesota",2008,9910
"1088","Minnesota",2009,9986
"1089","Minnesota",2010,9796
"1090","Minnesota",2011,9800
"1091","Minnesota",2012,9938
"1092","Minnesota",2013,10289
"1093","Minnesota",2014,10637
"1094","Minnesota",2015,10798
"1095","Minnesota",2016,10592
"1096","Minnesota",2017,10708
"1097","Minnesota",2018,10101
"1098","Minnesota",2019,9982
"1099","Minnesota",2020,8148
"1100","Minnesota",2021,8003
"1101","Missouri",1978,5637
"1102","Missouri",1979,5279
"1103","Missouri",1980,5726
"1104","Missouri",1981,6489
"1105","Missouri",1982,7445
"1106","Missouri",1983,8103
"1107","Missouri",1984,8770
"1108","Missouri",1985,9796
"1109","Missouri",1986,10309
"1110","Missouri",1987,11357
"1111","Missouri",1988,12176
"1112","Missouri",1989,13921
"1113","Missouri",1990,14943
"1114","Missouri",1991,15897
"1115","Missouri",1992,16195
"1116","Missouri",1993,16178
"1117","Missouri",1994,17898
"1118","Missouri",1995,19134
"1119","Missouri",1996,22003
"1120","Missouri",1997,23664
"1121","Missouri",1998,25060
"1122","Missouri",1999,26155
"1123","Missouri",2000,27543
"1124","Missouri",2001,28757
"1125","Missouri",2002,30099
"1126","Missouri",2003,30303
"1127","Missouri",2004,31081
"1128","Missouri",2005,30823
"1129","Missouri",2006,30167
"1130","Missouri",2007,29857
"1131","Missouri",2008,30186
"1132","Missouri",2009,30563
"1133","Missouri",2010,30623
"1134","Missouri",2011,30833
"1135","Missouri",2012,31247
"1136","Missouri",2013,31537
"1137","Missouri",2014,31942
"1138","Missouri",2015,32330
"1139","Missouri",2016,32461
"1140","Missouri",2017,32601
"1141","Missouri",2018,30369
"1142","Missouri",2019,26044
"1143","Missouri",2020,23062
"1144","Missouri",2021,23422
"1145","Mississippi",1978,2896
"1146","Mississippi",1979,3508
"1147","Mississippi",1980,3902
"1148","Mississippi",1981,4624
"1149","Mississippi",1982,5484
"1150","Mississippi",1983,5586
"1151","Mississippi",1984,6115
"1152","Mississippi",1985,6392
"1153","Mississippi",1986,6747
"1154","Mississippi",1987,6880
"1155","Mississippi",1988,7384
"1156","Mississippi",1989,7911
"1157","Mississippi",1990,8375
"1158","Mississippi",1991,8904
"1159","Mississippi",1992,8905
"1160","Mississippi",1993,9907
"1161","Mississippi",1994,10930
"1162","Mississippi",1995,12684
"1163","Mississippi",1996,13859
"1164","Mississippi",1997,14296
"1165","Mississippi",1998,16678
"1166","Mississippi",1999,18247
"1167","Mississippi",2000,20241
"1168","Mississippi",2001,21460
"1169","Mississippi",2002,22705
"1170","Mississippi",2003,20589
"1171","Mississippi",2004,20983
"1172","Mississippi",2005,20515
"1173","Mississippi",2006,21068
"1174","Mississippi",2007,22431
"1175","Mississippi",2008,22754
"1176","Mississippi",2009,21482
"1177","Mississippi",2010,21067
"1178","Mississippi",2011,21386
"1179","Mississippi",2012,22319
"1180","Mississippi",2013,21969
"1181","Mississippi",2014,18793
"1182","Mississippi",2015,18911
"1183","Mississippi",2016,19192
"1184","Mississippi",2017,19103
"1185","Mississippi",2018,19275
"1186","Mississippi",2019,19417
"1187","Mississippi",2020,17577
"1188","Mississippi",2021,17332
"1189","Montana",1978,690
"1190","Montana",1979,715
"1191","Montana",1980,739
"1192","Montana",1981,831
"1193","Montana",1982,914
"1194","Montana",1983,903
"1195","Montana",1984,964
"1196","Montana",1985,1129
"1197","Montana",1986,1111
"1198","Montana",1987,1207
"1199","Montana",1988,1272
"1200","Montana",1989,1328
"1201","Montana",1990,1425
"1202","Montana",1991,1478
"1203","Montana",1992,1548
"1204","Montana",1993,1541
"1205","Montana",1994,1764
"1206","Montana",1995,1999
"1207","Montana",1996,2230
"1208","Montana",1997,2541
"1209","Montana",1998,2734
"1210","Montana",1999,2951
"1211","Montana",2000,3105
"1212","Montana",2001,3328
"1213","Montana",2002,3323
"1214","Montana",2003,3620
"1215","Montana",2004,3164
"1216","Montana",2005,3509
"1217","Montana",2006,3563
"1218","Montana",2007,3431
"1219","Montana",2008,3517
"1220","Montana",2009,3605
"1221","Montana",2010,3716
"1222","Montana",2011,3678
"1223","Montana",2012,3609
"1224","Montana",2013,3642
"1225","Montana",2014,3699
"1226","Montana",2015,3685
"1227","Montana",2016,3814
"1228","Montana",2017,3698
"1229","Montana",2018,3765
"1230","Montana",2019,4723
"1231","Montana",2020,3927
"1232","Montana",2021,4313
"1233","North Carolina",1978,13252
"1234","North Carolina",1979,14255
"1235","North Carolina",1980,15513
"1236","North Carolina",1981,15770
"1237","North Carolina",1982,16569
"1238","North Carolina",1983,15395
"1239","North Carolina",1984,16371
"1240","North Carolina",1985,17344
"1241","North Carolina",1986,17698
"1242","North Carolina",1987,17218
"1243","North Carolina",1988,17078
"1244","North Carolina",1989,17454
"1245","North Carolina",1990,18411
"1246","North Carolina",1991,18903
"1247","North Carolina",1992,20454
"1248","North Carolina",1993,21892
"1249","North Carolina",1994,23648
"1250","North Carolina",1995,29253
"1251","North Carolina",1996,30647
"1252","North Carolina",1997,31612
"1253","North Carolina",1998,31961
"1254","North Carolina",1999,31086
"1255","North Carolina",2000,31266
"1256","North Carolina",2001,32253
"1257","North Carolina",2002,32832
"1258","North Carolina",2003,33560
"1259","North Carolina",2004,35434
"1260","North Carolina",2005,36365
"1261","North Carolina",2006,37460
"1262","North Carolina",2007,37970
"1263","North Carolina",2008,39482
"1264","North Carolina",2009,39860
"1265","North Carolina",2010,40382
"1266","North Carolina",2011,39440
"1267","North Carolina",2012,37136
"1268","North Carolina",2013,36922
"1269","North Carolina",2014,37096
"1270","North Carolina",2015,36617
"1271","North Carolina",2016,35697
"1272","North Carolina",2017,36394
"1273","North Carolina",2018,34899
"1274","North Carolina",2019,34079
"1275","North Carolina",2020,29461
"1276","North Carolina",2021,28995
"1277","North Dakota",1978,200
"1278","North Dakota",1979,186
"1279","North Dakota",1980,253
"1280","North Dakota",1981,280
"1281","North Dakota",1982,322
"1282","North Dakota",1983,410
"1283","North Dakota",1984,432
"1284","North Dakota",1985,422
"1285","North Dakota",1986,421
"1286","North Dakota",1987,430
"1287","North Dakota",1988,466
"1288","North Dakota",1989,451
"1289","North Dakota",1990,483
"1290","North Dakota",1991,492
"1291","North Dakota",1992,477
"1292","North Dakota",1993,498
"1293","North Dakota",1994,536
"1294","North Dakota",1995,608
"1295","North Dakota",1996,722
"1296","North Dakota",1997,797
"1297","North Dakota",1998,915
"1298","North Dakota",1999,943
"1299","North Dakota",2000,1076
"1300","North Dakota",2001,1111
"1301","North Dakota",2002,1112
"1302","North Dakota",2003,1239
"1303","North Dakota",2004,1327
"1304","North Dakota",2005,1385
"1305","North Dakota",2006,1363
"1306","North Dakota",2007,1416
"1307","North Dakota",2008,1452
"1308","North Dakota",2009,1486
"1309","North Dakota",2010,1487
"1310","North Dakota",2011,1423
"1311","North Dakota",2012,1512
"1312","North Dakota",2013,1576
"1313","North Dakota",2014,1718
"1314","North Dakota",2015,1795
"1315","North Dakota",2016,1791
"1316","North Dakota",2017,1723
"1317","North Dakota",2018,1695
"1318","North Dakota",2019,1794
"1319","North Dakota",2020,1401
"1320","North Dakota",2021,1689
"1321","Nebraska",1978,1347
"1322","Nebraska",1979,1291
"1323","Nebraska",1980,1446
"1324","Nebraska",1981,1488
"1325","Nebraska",1982,1739
"1326","Nebraska",1983,1629
"1327","Nebraska",1984,1655
"1328","Nebraska",1985,1814
"1329","Nebraska",1986,2044
"1330","Nebraska",1987,2086
"1331","Nebraska",1988,2156
"1332","Nebraska",1989,2393
"1333","Nebraska",1990,2403
"1334","Nebraska",1991,2526
"1335","Nebraska",1992,2514
"1336","Nebraska",1993,2518
"1337","Nebraska",1994,2711
"1338","Nebraska",1995,3074
"1339","Nebraska",1996,3287
"1340","Nebraska",1997,3402
"1341","Nebraska",1998,3676
"1342","Nebraska",1999,3688
"1343","Nebraska",2000,3895
"1344","Nebraska",2001,3937
"1345","Nebraska",2002,4058
"1346","Nebraska",2003,4040
"1347","Nebraska",2004,4130
"1348","Nebraska",2005,4455
"1349","Nebraska",2006,4407
"1350","Nebraska",2007,4505
"1351","Nebraska",2008,4520
"1352","Nebraska",2009,4474
"1353","Nebraska",2010,4587
"1354","Nebraska",2011,4616
"1355","Nebraska",2012,4705
"1356","Nebraska",2013,5026
"1357","Nebraska",2014,5441
"1358","Nebraska",2015,5372
"1359","Nebraska",2016,5302
"1360","Nebraska",2017,5313
"1361","Nebraska",2018,5491
"1362","Nebraska",2019,5682
"1363","Nebraska",2020,5306
"1364","Nebraska",2021,5600
"1365","New Hampshire",1978,283
"1366","New Hampshire",1979,316
"1367","New Hampshire",1980,326
"1368","New Hampshire",1981,398
"1369","New Hampshire",1982,445
"1370","New Hampshire",1983,479
"1371","New Hampshire",1984,581
"1372","New Hampshire",1985,683
"1373","New Hampshire",1986,782
"1374","New Hampshire",1987,867
"1375","New Hampshire",1988,1019
"1376","New Hampshire",1989,1166
"1377","New Hampshire",1990,1342
"1378","New Hampshire",1991,1533
"1379","New Hampshire",1992,1777
"1380","New Hampshire",1993,1775
"1381","New Hampshire",1994,2021
"1382","New Hampshire",1995,2015
"1383","New Hampshire",1996,2062
"1384","New Hampshire",1997,2168
"1385","New Hampshire",1998,2169
"1386","New Hampshire",1999,2257
"1387","New Hampshire",2000,2257
"1388","New Hampshire",2001,2392
"1389","New Hampshire",2002,2451
"1390","New Hampshire",2003,2434
"1391","New Hampshire",2004,2448
"1392","New Hampshire",2005,2530
"1393","New Hampshire",2006,2805
"1394","New Hampshire",2007,2943
"1395","New Hampshire",2008,2702
"1396","New Hampshire",2009,2731
"1397","New Hampshire",2010,2761
"1398","New Hampshire",2011,2614
"1399","New Hampshire",2012,2790
"1400","New Hampshire",2013,3018
"1401","New Hampshire",2014,2963
"1402","New Hampshire",2015,2897
"1403","New Hampshire",2016,2818
"1404","New Hampshire",2017,2750
"1405","New Hampshire",2018,2722
"1406","New Hampshire",2019,2691
"1407","New Hampshire",2020,2352
"1408","New Hampshire",2021,2127
"1409","New Jersey",1978,5869
"1410","New Jersey",1979,5852
"1411","New Jersey",1980,5884
"1412","New Jersey",1981,7011
"1413","New Jersey",1982,8191
"1414","New Jersey",1983,9192
"1415","New Jersey",1984,10363
"1416","New Jersey",1985,11335
"1417","New Jersey",1986,12020
"1418","New Jersey",1987,15969
"1419","New Jersey",1988,16936
"1420","New Jersey",1989,19439
"1421","New Jersey",1990,21128
"1422","New Jersey",1991,23483
"1423","New Jersey",1992,22653
"1424","New Jersey",1993,23831
"1425","New Jersey",1994,24632
"1426","New Jersey",1995,27066
"1427","New Jersey",1996,27490
"1428","New Jersey",1997,28361
"1429","New Jersey",1998,31121
"1430","New Jersey",1999,31493
"1431","New Jersey",2000,29784
"1432","New Jersey",2001,28142
"1433","New Jersey",2002,27891
"1434","New Jersey",2003,27246
"1435","New Jersey",2004,26757
"1436","New Jersey",2005,27359
"1437","New Jersey",2006,27371
"1438","New Jersey",2007,26827
"1439","New Jersey",2008,25953
"1440","New Jersey",2009,25382
"1441","New Jersey",2010,25007
"1442","New Jersey",2011,23834
"1443","New Jersey",2012,23225
"1444","New Jersey",2013,22452
"1445","New Jersey",2014,21590
"1446","New Jersey",2015,20489
"1447","New Jersey",2016,19786
"1448","New Jersey",2017,19585
"1449","New Jersey",2018,19362
"1450","New Jersey",2019,18613
"1451","New Jersey",2020,12830
"1452","New Jersey",2021,12506
"1453","New Mexico",1978,1593
"1454","New Mexico",1979,1556
"1455","New Mexico",1980,1279
"1456","New Mexico",1981,1497
"1457","New Mexico",1982,1718
"1458","New Mexico",1983,1977
"1459","New Mexico",1984,2129
"1460","New Mexico",1985,2313
"1461","New Mexico",1986,2416
"1462","New Mexico",1987,2670
"1463","New Mexico",1988,2825
"1464","New Mexico",1989,3158
"1465","New Mexico",1990,3187
"1466","New Mexico",1991,3119
"1467","New Mexico",1992,3271
"1468","New Mexico",1993,3498
"1469","New Mexico",1994,3712
"1470","New Mexico",1995,4078
"1471","New Mexico",1996,4724
"1472","New Mexico",1997,4688
"1473","New Mexico",1998,5078
"1474","New Mexico",1999,5174
"1475","New Mexico",2000,5342
"1476","New Mexico",2001,5668
"1477","New Mexico",2002,5991
"1478","New Mexico",2003,6223
"1479","New Mexico",2004,6379
"1480","New Mexico",2005,6571
"1481","New Mexico",2006,6639
"1482","New Mexico",2007,6466
"1483","New Mexico",2008,6322
"1484","New Mexico",2009,6363
"1485","New Mexico",2010,6763
"1486","New Mexico",2011,6998
"1487","New Mexico",2012,6727
"1488","New Mexico",2013,6931
"1489","New Mexico",2014,7021
"1490","New Mexico",2015,7104
"1491","New Mexico",2016,7055
"1492","New Mexico",2017,7276
"1493","New Mexico",2018,7030
"1494","New Mexico",2019,6723
"1495","New Mexico",2020,5500
"1496","New Mexico",2021,5154
"1497","Nevada",1978,1350
"1498","Nevada",1979,1566
"1499","Nevada",1980,1839
"1500","Nevada",1981,2116
"1501","Nevada",1982,2753
"1502","Nevada",1983,3188
"1503","Nevada",1984,3488
"1504","Nevada",1985,3771
"1505","Nevada",1986,4551
"1506","Nevada",1987,4434
"1507","Nevada",1988,4881
"1508","Nevada",1989,5112
"1509","Nevada",1990,5322
"1510","Nevada",1991,5823
"1511","Nevada",1992,6049
"1512","Nevada",1993,6412
"1513","Nevada",1994,6993
"1514","Nevada",1995,7713
"1515","Nevada",1996,8325
"1516","Nevada",1997,9024
"1517","Nevada",1998,9651
"1518","Nevada",1999,9494
"1519","Nevada",2000,10063
"1520","Nevada",2001,10233
"1521","Nevada",2002,10478
"1522","Nevada",2003,10543
"1523","Nevada",2004,11365
"1524","Nevada",2005,11782
"1525","Nevada",2006,12839
"1526","Nevada",2007,13400
"1527","Nevada",2008,12743
"1528","Nevada",2009,12482
"1529","Nevada",2010,12653
"1530","Nevada",2011,12778
"1531","Nevada",2012,12883
"1532","Nevada",2013,13056
"1533","Nevada",2014,12537
"1534","Nevada",2015,13071
"1535","Nevada",2016,13757
"1536","Nevada",2017,13721
"1537","Nevada",2018,13641
"1538","Nevada",2019,12840
"1539","Nevada",2020,11249
"1540","Nevada",2021,10202
"1541","New York",1978,20459
"1542","New York",1979,20856
"1543","New York",1980,21815
"1544","New York",1981,25494
"1545","New York",1982,27945
"1546","New York",1983,30510
"1547","New York",1984,33109
"1548","New York",1985,34507
"1549","New York",1986,38449
"1550","New York",1987,40842
"1551","New York",1988,44560
"1552","New York",1989,51232
"1553","New York",1990,54895
"1554","New York",1991,57862
"1555","New York",1992,61736
"1556","New York",1993,64569
"1557","New York",1994,66750
"1558","New York",1995,68486
"1559","New York",1996,69709
"1560","New York",1997,69108
"1561","New York",1998,72289
"1562","New York",1999,72899
"1563","New York",2000,70199
"1564","New York",2001,67533
"1565","New York",2002,67065
"1566","New York",2003,65198
"1567","New York",2004,63751
"1568","New York",2005,62743
"1569","New York",2006,63315
"1570","New York",2007,62620
"1571","New York",2008,60347
"1572","New York",2009,58687
"1573","New York",2010,56656
"1574","New York",2011,55436
"1575","New York",2012,54210
"1576","New York",2013,53550
"1577","New York",2014,52518
"1578","New York",2015,51727
"1579","New York",2016,50716
"1580","New York",2017,49461
"1581","New York",2018,46636
"1582","New York",2019,43500
"1583","New York",2020,34128
"1584","New York",2021,30338
"1585","Ohio",1978,13107
"1586","Ohio",1979,13360
"1587","Ohio",1980,13489
"1588","Ohio",1981,14968
"1589","Ohio",1982,17317
"1590","Ohio",1983,18007
"1591","Ohio",1984,18619
"1592","Ohio",1985,20864
"1593","Ohio",1986,22463
"1594","Ohio",1987,24240
"1595","Ohio",1988,26462
"1596","Ohio",1989,30538
"1597","Ohio",1990,31822
"1598","Ohio",1991,35744
"1599","Ohio",1992,38378
"1600","Ohio",1993,40641
"1601","Ohio",1994,41908
"1602","Ohio",1995,44663
"1603","Ohio",1996,46174
"1604","Ohio",1997,48016
"1605","Ohio",1998,48450
"1606","Ohio",1999,46842
"1607","Ohio",2000,45833
"1608","Ohio",2001,45281
"1609","Ohio",2002,45646
"1610","Ohio",2003,44778
"1611","Ohio",2004,44806
"1612","Ohio",2005,45854
"1613","Ohio",2006,49166
"1614","Ohio",2007,50731
"1615","Ohio",2008,51686
"1616","Ohio",2009,51606
"1617","Ohio",2010,51712
"1618","Ohio",2011,50964
"1619","Ohio",2012,50876
"1620","Ohio",2013,51729
"1621","Ohio",2014,51519
"1622","Ohio",2015,52233
"1623","Ohio",2016,52175
"1624","Ohio",2017,51478
"1625","Ohio",2018,50431
"1626","Ohio",2019,50338
"1627","Ohio",2020,45036
"1628","Ohio",2021,45029
"1629","Oklahoma",1978,4186
"1630","Oklahoma",1979,4250
"1631","Oklahoma",1980,4796
"1632","Oklahoma",1981,5281
"1633","Oklahoma",1982,6500
"1634","Oklahoma",1983,7480
"1635","Oklahoma",1984,7872
"1636","Oklahoma",1985,8330
"1637","Oklahoma",1986,9708
"1638","Oklahoma",1987,9639
"1639","Oklahoma",1988,10448
"1640","Oklahoma",1989,11608
"1641","Oklahoma",1990,12285
"1642","Oklahoma",1991,13340
"1643","Oklahoma",1992,14821
"1644","Oklahoma",1993,16409
"1645","Oklahoma",1994,16631
"1646","Oklahoma",1995,18151
"1647","Oklahoma",1996,19593
"1648","Oklahoma",1997,20542
"1649","Oklahoma",1998,20892
"1650","Oklahoma",1999,22393
"1651","Oklahoma",2000,23181
"1652","Oklahoma",2001,22780
"1653","Oklahoma",2002,22802
"1654","Oklahoma",2003,22821
"1655","Oklahoma",2004,24508
"1656","Oklahoma",2005,24826
"1657","Oklahoma",2006,24288
"1658","Oklahoma",2007,24603
"1659","Oklahoma",2008,24660
"1660","Oklahoma",2009,24803
"1661","Oklahoma",2010,26252
"1662","Oklahoma",2011,25977
"1663","Oklahoma",2012,25225
"1664","Oklahoma",2013,27547
"1665","Oklahoma",2014,27650
"1666","Oklahoma",2015,28547
"1667","Oklahoma",2016,29916
"1668","Oklahoma",2017,28143
"1669","Oklahoma",2018,26956
"1670","Oklahoma",2019,25033
"1671","Oklahoma",2020,22462
"1672","Oklahoma",2021,22391
"1673","Oregon",1978,2879
"1674","Oregon",1979,3179
"1675","Oregon",1980,3177
"1676","Oregon",1981,3295
"1677","Oregon",1982,3900
"1678","Oregon",1983,3952
"1679","Oregon",1984,4224
"1680","Oregon",1985,4376
"1681","Oregon",1986,4770
"1682","Oregon",1987,5457
"1683","Oregon",1988,5991
"1684","Oregon",1989,6156
"1685","Oregon",1990,6492
"1686","Oregon",1991,6732
"1687","Oregon",1992,6583
"1688","Oregon",1993,6557
"1689","Oregon",1994,6936
"1690","Oregon",1995,7886
"1691","Oregon",1996,8661
"1692","Oregon",1997,7999
"1693","Oregon",1998,9034
"1694","Oregon",1999,9860
"1695","Oregon",2000,10580
"1696","Oregon",2001,11410
"1697","Oregon",2002,12085
"1698","Oregon",2003,12715
"1699","Oregon",2004,13183
"1700","Oregon",2005,13411
"1701","Oregon",2006,13707
"1702","Oregon",2007,13948
"1703","Oregon",2008,14167
"1704","Oregon",2009,14403
"1705","Oregon",2010,14876
"1706","Oregon",2011,14510
"1707","Oregon",2012,14840
"1708","Oregon",2013,15517
"1709","Oregon",2014,15075
"1710","Oregon",2015,15245
"1711","Oregon",2016,15166
"1712","Oregon",2017,15218
"1713","Oregon",2018,15268
"1714","Oregon",2019,14961
"1715","Oregon",2020,12753
"1716","Oregon",2021,13198
"1717","Pennsylvania",1978,7814
"1718","Pennsylvania",1979,7772
"1719","Pennsylvania",1980,8171
"1720","Pennsylvania",1981,9365
"1721","Pennsylvania",1982,10508
"1722","Pennsylvania",1983,11767
"1723","Pennsylvania",1984,13090
"1724","Pennsylvania",1985,14227
"1725","Pennsylvania",1986,15201
"1726","Pennsylvania",1987,16267
"1727","Pennsylvania",1988,17900
"1728","Pennsylvania",1989,20469
"1729","Pennsylvania",1990,22290
"1730","Pennsylvania",1991,23388
"1731","Pennsylvania",1992,24974
"1732","Pennsylvania",1993,26050
"1733","Pennsylvania",1994,28302
"1734","Pennsylvania",1995,32416
"1735","Pennsylvania",1996,34537
"1736","Pennsylvania",1997,34964
"1737","Pennsylvania",1998,36377
"1738","Pennsylvania",1999,36525
"1739","Pennsylvania",2000,36847
"1740","Pennsylvania",2001,38062
"1741","Pennsylvania",2002,40168
"1742","Pennsylvania",2003,40890
"1743","Pennsylvania",2004,40963
"1744","Pennsylvania",2005,42380
"1745","Pennsylvania",2006,44397
"1746","Pennsylvania",2007,45969
"1747","Pennsylvania",2008,49215
"1748","Pennsylvania",2009,51429
"1749","Pennsylvania",2010,51264
"1750","Pennsylvania",2011,51578
"1751","Pennsylvania",2012,51125
"1752","Pennsylvania",2013,51422
"1753","Pennsylvania",2014,50694
"1754","Pennsylvania",2015,49858
"1755","Pennsylvania",2016,49244
"1756","Pennsylvania",2017,48333
"1757","Pennsylvania",2018,47239
"1758","Pennsylvania",2019,45702
"1759","Pennsylvania",2020,39357
"1760","Pennsylvania",2021,37194
"1761","Rhode Island",1978,664
"1762","Rhode Island",1979,738
"1763","Rhode Island",1980,813
"1764","Rhode Island",1981,962
"1765","Rhode Island",1982,1037
"1766","Rhode Island",1983,1157
"1767","Rhode Island",1984,1221
"1768","Rhode Island",1985,1306
"1769","Rhode Island",1986,1358
"1770","Rhode Island",1987,1428
"1771","Rhode Island",1988,1906
"1772","Rhode Island",1989,2479
"1773","Rhode Island",1990,2392
"1774","Rhode Island",1991,2771
"1775","Rhode Island",1992,2775
"1776","Rhode Island",1993,2783
"1777","Rhode Island",1994,2919
"1778","Rhode Island",1995,2902
"1779","Rhode Island",1996,3271
"1780","Rhode Island",1997,3371
"1781","Rhode Island",1998,3445
"1782","Rhode Island",1999,3003
"1783","Rhode Island",2000,3286
"1784","Rhode Island",2001,3241
"1785","Rhode Island",2002,3520
"1786","Rhode Island",2003,3527
"1787","Rhode Island",2004,3430
"1788","Rhode Island",2005,3654
"1789","Rhode Island",2006,3996
"1790","Rhode Island",2007,4018
"1791","Rhode Island",2008,4045
"1792","Rhode Island",2009,3674
"1793","Rhode Island",2010,3357
"1794","Rhode Island",2011,3337
"1795","Rhode Island",2012,3318
"1796","Rhode Island",2013,3361
"1797","Rhode Island",2014,3359
"1798","Rhode Island",2015,3248
"1799","Rhode Island",2016,3103
"1800","Rhode Island",2017,2861
"1801","Rhode Island",2018,2767
"1802","Rhode Island",2019,2740
"1803","Rhode Island",2020,2227
"1804","Rhode Island",2021,2238
"1805","South Carolina",1978,7536
"1806","South Carolina",1979,7643
"1807","South Carolina",1980,7862
"1808","South Carolina",1981,8538
"1809","South Carolina",1982,9137
"1810","South Carolina",1983,9576
"1811","South Carolina",1984,9892
"1812","South Carolina",1985,10510
"1813","South Carolina",1986,11676
"1814","South Carolina",1987,12664
"1815","South Carolina",1988,13888
"1816","South Carolina",1989,15720
"1817","South Carolina",1990,17319
"1818","South Carolina",1991,18269
"1819","South Carolina",1992,18643
"1820","South Carolina",1993,18704
"1821","South Carolina",1994,18999
"1822","South Carolina",1995,19611
"1823","South Carolina",1996,20446
"1824","South Carolina",1997,21173
"1825","South Carolina",1998,21764
"1826","South Carolina",1999,22008
"1827","South Carolina",2000,21778
"1828","South Carolina",2001,22576
"1829","South Carolina",2002,23715
"1830","South Carolina",2003,23719
"1831","South Carolina",2004,23428
"1832","South Carolina",2005,23160
"1833","South Carolina",2006,23616
"1834","South Carolina",2007,24239
"1835","South Carolina",2008,24326
"1836","South Carolina",2009,24288
"1837","South Carolina",2010,23578
"1838","South Carolina",2011,22914
"1839","South Carolina",2012,22388
"1840","South Carolina",2013,22060
"1841","South Carolina",2014,21401
"1842","South Carolina",2015,20929
"1843","South Carolina",2016,20858
"1844","South Carolina",2017,19906
"1845","South Carolina",2018,19033
"1846","South Carolina",2019,18608
"1847","South Carolina",2020,16157
"1848","South Carolina",2021,15759
"1849","South Dakota",1978,532
"1850","South Dakota",1979,562
"1851","South Dakota",1980,635
"1852","South Dakota",1981,693
"1853","South Dakota",1982,791
"1854","South Dakota",1983,826
"1855","South Dakota",1984,921
"1856","South Dakota",1985,1049
"1857","South Dakota",1986,1081
"1858","South Dakota",1987,1133
"1859","South Dakota",1988,1020
"1860","South Dakota",1989,1256
"1861","South Dakota",1990,1341
"1862","South Dakota",1991,1374
"1863","South Dakota",1992,1487
"1864","South Dakota",1993,1553
"1865","South Dakota",1994,1708
"1866","South Dakota",1995,1871
"1867","South Dakota",1996,2063
"1868","South Dakota",1997,2242
"1869","South Dakota",1998,2422
"1870","South Dakota",1999,2506
"1871","South Dakota",2000,2616
"1872","South Dakota",2001,2790
"1873","South Dakota",2002,2918
"1874","South Dakota",2003,3026
"1875","South Dakota",2004,3095
"1876","South Dakota",2005,3463
"1877","South Dakota",2006,3359
"1878","South Dakota",2007,3311
"1879","South Dakota",2008,3342
"1880","South Dakota",2009,3434
"1881","South Dakota",2010,3434
"1882","South Dakota",2011,3535
