"","State","year","count"
"204","Arizona",2005,33471
"205","Arizona",2006,35801
"206","Arizona",2007,37746
"207","Arizona",2008,39502
"208","Arizona",2009,40544
"209","Arizona",2010,40209
"210","Arizona",2011,40020
"211","Arizona",2012,40080
"212","Arizona",2013,41177
"213","Arizona",2014,42259
"214","Arizona",2015,42719
"215","Arizona",2016,42320
"216","Arizona",2017,42030
"217","Arizona",2018,42005
"218","Arizona",2019,42441
"219","Arizona",2020,37794
"220","Arizona",2021,33914
"221","California",1978,21325
"222","California",1979,22632
"223","California",1980,24569
"224","California",1981,29202
"225","California",1982,34640
"226","California",1983,39373
"227","California",1984,43197
"228","California",1985,50158
"229","California",1986,59484
"230","California",1987,66975
"231","California",1988,76171
"232","California",1989,87297
"233","California",1990,97309
"234","California",1991,101808
"235","California",1992,109496
"236","California",1993,119951
"237","California",1994,126091
"238","California",1995,135646
"239","California",1996,146049
"240","California",1997,155790
"241","California",1998,161904
"242","California",1999,163067
"243","California",2000,163001
"244","California",2001,159444
"245","California",2002,161361
"246","California",2003,164487
"247","California",2004,166556
"248","California",2005,170676
"249","California",2006,175512
"250","California",2007,174282
"251","California",2008,173670
"252","California",2009,171275
"253","California",2010,165062
"254","California",2011,149569
"255","California",2012,134534
"256","California",2013,135981
"257","California",2014,136085
"258","California",2015,129593
"259","California",2016,130084
"260","California",2017,131039
"261","California",2018,128625
"262","California",2019,122687
"263","California",2020,100396
"264","California",2021,101441
"265","Colorado",1978,2486
"266","Colorado",1979,2668
"267","Colorado",1980,2629
"268","Colorado",1981,2772
"269","Colorado",1982,3042
"270","Colorado",1983,3244
"271","Colorado",1984,3231
"272","Colorado",1985,3386
"273","Colorado",1986,3804
"274","Colorado",1987,4808
"275","Colorado",1988,5765
"276","Colorado",1989,6908
"277","Colorado",1990,7671
"278","Colorado",1991,8392
"279","Colorado",1992,8997
"280","Colorado",1993,9462
"281","Colorado",1994,10717
"282","Colorado",1995,11063
"283","Colorado",1996,12438
"284","Colorado",1997,13461
"285","Colorado",1998,14312
"286","Colorado",1999,15670
"287","Colorado",2000,16833
"288","Colorado",2001,17448
"289","Colorado",2002,18833
"290","Colorado",2003,19671
"291","Colorado",2004,20293
"292","Colorado",2005,21456
"293","Colorado",2006,22481
"294","Colorado",2007,22841
"295","Colorado",2008,23274
"296","Colorado",2009,22795
"297","Colorado",2010,22815
"298","Colorado",2011,21978
"299","Colorado",2012,20462
"300","Colorado",2013,20371
"301","Colorado",2014,20646
"302","Colorado",2015,20041
"303","Colorado",2016,19981
"304","Colorado",2017,19946
"305","Colorado",2018,20372
"306","Colorado",2019,19785
"307","Colorado",2020,16259
"308","Colorado",2021,15865
