"","year","state","state_name","race_pct","race_count"
"1",1980,"AL","Alabama",0.320214719027141,32021.4719027141
"2",1980,"AK","Alaska",0.224880033512156,22488.0033512156
"3",1980,"AZ","Arizona",0.0481020654248747,4810.20654248747
"4",1980,"AR","Arkansas",0.166850876978512,16685.0876978512
"5",1980,"CA","California",0.141304339691994,14130.4339691994
"6",1980,"CO","Colorado",0.0455047936052822,4550.47936052822
"7",1980,"CT","Connecticut",0.0747630333269586,7476.30333269586
"8",1980,"DE","Delaware",0.183644004584212,18364.4004584212
"9",1980,"DC","District of Columbia",0.705592312305404,70559.2312305404
"10",1980,"FL","Florida",0.184574946001635,18457.4946001635
"11",1980,"GA","Georgia",0.204550144058236,20455.0144058236
"12",1980,"HI","Hawaii",0.654601104374944,65460.1104374944
"13",1980,"ID","Idaho",0.0126224044788151,1262.24044788151
"14",1980,"IL","Illinois",0.168081989215822,16808.1989215822
"15",1980,"IN","Indiana",0.0842512544061898,8425.12544061898
"16",1980,"IA","Iowa",0.0230644405508038,2306.44405508038
"17",1980,"KS","Kansas",0.0714366447402484,7143.66447402484
"18",1980,"KY","Kentucky",0.0754781198365559,7547.81198365559
"19",1980,"LA","Louisiana",0.288974186566457,28897.4186566457
"20",1980,"ME","Maine",0.0132189261810679,1321.89261810679
"21",1980,"MD","Maryland",0.239538504191632,23953.8504191632
"22",1980,"MA","Massachusetts",0.0505390270684253,5053.90270684253
"23",1980,"MI","Michigan",0.144923808044113,14492.3808044113
"24",1980,"MN","Minnesota",0.02111874868088,2111.874868088
"25",1980,"MS","Mississippi",0.314110713310408,31411.0713310408
"26",1980,"MO","Missouri",0.120834875482302,12083.4875482302
"27",1980,"MT","Montana",0.0558008294183098,5580.08294183098
"28",1980,"NE","Nebraska",0.0399784535487637,3997.84535487637
"29",1980,"NV","Nevada",0.0869268190122414,8692.68190122414
"30",1980,"NH","New Hampshire",0.00983080205538621,983.080205538621
"31",1980,"NJ","New Jersey",0.129657482470971,12965.7482470971
"32",1980,"NM","New Mexico",0.0953710913457255,9537.10913457255
"33",1980,"NY","New York",0.159374864963753,15937.4864963753
"34",1980,"NC","North Carolina",0.227073819887086,22707.3819887086
"35",1980,"ND","North Dakota",0.0365648850949307,3656.48850949307
"36",1980,"OH","Ohio",0.0942090282069365,9420.90282069365
"37",1980,"OK","Oklahoma",0.125085538759251,12508.5538759251
"38",1980,"OR","Oregon",0.0483233142959671,4832.33142959671
"39",1980,"PA","Pennsylvania",0.0989084474728844,9890.84474728843
"40",1980,"RI","Rhode Island",0.0397259388649823,3972.59388649823
"41",1980,"SC","South Carolina",0.308383353282802,30838.3353282802
"42",1980,"SD","South Dakota",0.0640874604553643,6408.74604553643
"43",1980,"TN","Tennessee",0.154753006160054,15475.3006160054
"44",1980,"TX","Texas",0.123769124842214,12376.9124842214
"45",1980,"UT","Utah",0.0226568944277256,2265.68944277256
"46",1980,"VT","Vermont",0.00549700567085301,549.700567085301
"47",1980,"VA","Virginia",0.188563344590222,18856.3344590222
"48",1980,"WA","Washington",0.0713970398195025,7139.70398195025
"49",1980,"WV","West Virginia",0.0310223505165501,3102.23505165501
"50",1980,"WI","Wisconsin",0.048074816461353,4807.4816461353
"51",1980,"WY","Wyoming",0.0240299187211725,2402.99187211725
"52",1981,"AL","Alabama",0.282153904783946,28215.3904783946
"53",1981,"AK","Alaska",0.239244324981149,23924.4324981149
"54",1981,"AZ","Arizona",0.0532689360114524,5326.89360114524
"55",1981,"AR","Arkansas",0.15588678412313,15588.678412313
"56",1981,"CA","California",0.160562615220312,16056.2615220312
"57",1981,"CO","Colorado",0.0512876162636312,5128.76162636312
"58",1981,"CT","Connecticut",0.0731523523017012,7315.23523017012
