"","State","year","tot_pop","incar_rate","tot_crime_rate","violent_crime_rate","prop_crime_rate","pov_rate","non_white_rate","spending_rate"
"65","Indiana",1981,5431000,147.707604492727,4569.02964463266,343.804087645001,4225.22555698766,12600,7953.62923834495,13400000
"66","Iowa",1981,2815000,94.8490230905861,4853.92539964476,210.1243339254,4643.80106571936,13100,2965.67891227775,14400000
"67","Kansas",1981,2282000,121.384750219106,5638.7379491674,385.451358457493,5253.2865907099,11700,7750.25857669225,14800000
"68","Kentucky",1981,3668000,108.860414394766,3524.78189749182,288.958560523446,3235.82333696837,19300,7347.44274328324,14300000
"69","Louisiana",1981,4262000,220.905678085406,5320.81182543407,644.720788362271,4676.0910370718,22000,28961.747231758,21400000
"70","Maine",1981,1116000,88.8888888888889,4304.12186379928,198.387096774194,4105.73476702509,16000,1060.68654076685,12800000
"71","Maryland",1981,4123000,226.412806209071,6777.22532136794,916.808149405772,5860.41717196216,10700,23416.5652145935,23900000
"72","Massachusetts",1981,5804000,67.0055134390076,5801.18883528601,624.965541006203,5176.22329427981,8900,5221.85734377834,22700000
"73","Michigan",1981,9096000,166.633685136324,6933.15743183817,649.274406332454,6283.88302550572,13000,14137.0728869922,24800000
"74","Minnesota",1981,4034000,48.7357461576599,4802.4541398116,231.631135349529,4570.82300446207,10900,3582.37950739333,17500000
"75","Mississippi",1981,2408000,192.02657807309,3716.56976744186,320.016611295681,3396.55315614618,25700,33106.1723122304,12200000
"76","Missouri",1981,4814000,134.794349813045,5489.19817199834,554.113003739094,4935.08516825924,13200,11302.340386599,19500000
"77","Montana",1981,813000,102.214022140221,4889.29889298893,246.494464944649,4642.80442804428,13100,4618.24569334856,16700000
"78","National",1981,226546000,163.291340390031,5925.3838072621,601.12295074731,5324.26085651479,13998.481544587,282.488532433465,20750000
"79","Nebraska",1981,1579000,94.2368587713743,4169.60101329956,181.190626979101,3988.41038632046,14000,5018.21685762391,1.5e+07
"80","Nevada",1981,884000,239.366515837104,8212.89592760181,856.900452488688,7355.99547511312,10500,10854.5240568409,2.8e+07
"81","New Hampshire",1981,929000,42.8417653390743,4349.7308934338,148.008611410118,4201.72228202368,7600,930.447979336675,15900000
"82","New Jersey",1981,7331000,95.6349747646979,6238.80780248261,636.666211976538,5602.14159050607,10000,13079.1295941954,25300000
"83","New Mexico",1981,1303000,114.888718342287,6314.81197237145,684.036838066002,5630.77513430545,18600,15449.2439902991,19400000
"84","New York",1981,17470000,145.930165998855,6954.40755580996,1077.14939896966,5877.2581568403,14400,16283.7883385608,29800000
"85","North Carolina",1981,5820000,270.962199312715,4621.9587628866,446.494845360825,4175.46391752577,17500,22927.0919030478,15800000
"86","North Dakota",1981,626000,44.7284345047923,3143.92971246006,70.926517571885,3073.00319488818,14200,3772.84125590037,13200000
"87","Ohio",1981,10750000,139.237209302326,5460.53023255814,497.758139534884,4962.77209302326,12700,11095.7003610662,17800000
"88","Oklahoma",1981,2985000,176.917922948074,5020.43551088777,442.981574539364,4577.45393634841,13800,13019.0683365851,15100000
"89","Oregon",1981,2693000,122.354251763832,6916.70998886001,470.516152989231,6446.19383587078,12300,4676.61419220578,21300000
"90","Pennsylvania",1981,11740000,79.7700170357751,3722.11243611584,375.672913117547,3346.4395229983,11600,9851.13321732185,17400000
"91","Rhode Island",1981,936000,102.777777777778,5951.81623931624,449.252136752137,5502.5641025641,11700,3648.69265897817,19700000
"92","South Carolina",1981,3347000,255.094114132059,5031.43113235733,605.766357932477,4425.66477442486,18400,32938.5121909848,13800000
"93","South Dakota",1981,675000,102.666666666667,3057.77777777778,106.37037037037,2951.40740740741,19500,8135.64340931441,13800000
"94","Tennessee",1981,4502000,175.410928476233,4414.83784984451,422.45668591737,3992.38116392714,20900,17885.0664893327,14800000
"95","Texas",1981,14640000,215.177595628415,6097.83469945355,536.612021857924,5561.22267759563,15400,13282.2345447296,15800000
"96","Utah",1981,1516000,75.197889182058,5750,298.614775725594,5451.38522427441,12200,2746.52640144227,17200000
"97","Vermont",1981,535000,99.8130841121495,4871.58878504673,123.177570093458,4748.41121495327,12300,556.881906460954,1.3e+07
"98","Virginia",1981,5257000,178.580939699448,4821.00057066768,332.052501426669,4488.94806924101,12600,20643.3475344221,17100000
"99","Washington",1981,4168000,128.023032629559,6813.19577735125,451.991362763916,6361.20441458733,11300,8017.06792683121,19100000
"100","West Virginia",1981,2003000,78.1328007988018,2550.72391412881,170.244633050424,2380.47928107838,19900,2511.24792170336,10600000
"101","Wisconsin",1981,4741000,92.4910356464881,4764.83864163679,187.808479223792,4577.03016241299,8100,4528.65245186155,22100000
"102","Wyoming",1981,482000,115.352697095436,5238.38174273859,439.004149377593,4799.377593361,8900,2653.92747300176,27700000
"103","Alabama",1982,3937000,234.518669037338,4640.61468122936,448.387096774194,4192.22758445517,21600,24789.9663962911,14700000
"104","Alaska",1982,432000,306.018518518519,6298.84259259259,632.407407407407,5666.43518518519,10600,22417.1725941176,76300000
"105","Arizona",1982,2765000,219.493670886076,7375.98553345389,534.719710669078,6841.26582278481,14800,4839.08164683131,30100000
"106","Arkansas",1982,2219000,176.746282109058,3997.16088328076,335.196034249662,3661.9648490311,23800,18564.4773136222,11100000
"107","California",1982,24610000,140.755790329134,7319.2035757822,818.484355952865,6500.71921982934,14100,15801.0491713808,29200000
"108","Colorado",1982,3064000,99.2819843342037,7036.03133159269,501.109660574413,6534.92167101828,12600,4669.17559493252,22600000
"109","Connecticut",1982,3126000,164.939219449776,5474.37619961612,402.975047984645,5071.40115163148,8100,6816.75023611336,20200000
"110","Delaware",1982,611000,338.461538461538,6290.83469721768,551.554828150573,5739.2798690671,11500,17720.1954781499,23800000
"111","Florida",1982,10510000,264.795432921028,7398.44909609895,888.782112274025,6509.66698382493,15200,17984.2661687189,25100000
"112","Georgia",1982,5472000,263.249269005848,5373.90350877193,492.744883040936,4881.15862573099,19600,22931.8916447644,16200000
"113","Hawaii",1982,997000,146.53961885657,6564.49348044132,254.964894684052,6309.52858575727,13200,70076.4985795137,22100000
"114","Idaho",1982,967000,107.962771458118,4074.76732161324,258.634953464323,3816.13236814891,15600,1615.92680903847,15600000
"115","Illinois",1982,11280000,126.710992907801,5927.28723404255,785.851063829787,5141.43617021277,13400,16999.8328686363,25600000
"116","Indiana",1982,5415000,162.326869806094,4475.30932594644,303.674976915974,4171.63434903047,12600,8296.89595317438,13400000
"117","Iowa",1982,2770000,102.129963898917,4338.12274368231,181.15523465704,4156.96750902527,13400,2970.37728395581,15200000
"118","Kansas",1982,2365000,130.14799154334,5042.02959830867,341.987315010571,4700.0422832981,10400,7244.78843497265,15800000
"119","Kentucky",1982,3618000,111.415146489773,3616.7495854063,319.237147595357,3297.51243781095,16200,6896.90254524901,14200000
"120","Louisiana",1982,4299000,254.245173296115,5389.02070248895,678.878809025355,4710.1418934636,22700,32081.1467888052,21400000
"121","Maine",1982,1133000,97.9699911738747,3859.75286849073,163.018534863195,3696.73433362754,13700,1099.55118451218,13500000
"122","Maryland",1982,4190000,277.255369928401,6120,865.250596658711,5254.74940334129,12300,22710.5784046902,23700000
"123","Massachusetts",1982,5748000,75.4001391788448,5535.33402922756,574.652052887961,4960.6819763396,10300,4568.7189553337,20600000
"124","Michigan",1982,9117000,163.573543928924,6778.55654272239,655.983327849073,6122.57321487331,16200,14189.754457944,25200000
"125","Minnesota",1982,4120000,50.5097087378641,4468.68932038835,219.95145631068,4248.73786407767,13300,2315.05192713424,18700000
"126","Mississippi",1982,2454000,223.471882640587,3713.8141809291,306.234718826406,3407.57946210269,22900,35920.5553241679,12600000
"127","Missouri",1982,4798000,155.168820341809,5105.58566069196,522.676115047937,4582.90954564402,14600,10823.087665693,19400000
"128","Montana",1982,793000,115.258511979823,4376.92307692308,227.112232030265,4149.81084489281,17000,6199.84743066231,17600000
"129","National",1982,228794000,180.864008671556,5670.77370910076,577.982814234639,5092.79089486612,14983.7845398044,282.702821474497,19250000
"130","Nebraska",1982,1582000,109.92414664981,3960.80910240202,230.151706700379,3730.65739570164,13600,3450.63276199512,15100000
"131","Nevada",1982,897000,306.911928651059,7760.08918617614,791.08138238573,6969.00780379041,7800,10119.8633693147,26500000
"132","New Hampshire",1982,943000,47.1898197242842,3861.71792152704,125.874867444327,3735.84305408271,10300,760.941673020196,16400000
"133","New Jersey",1982,7367000,111.185014252749,5730.8402334736,613.207547169811,5117.63268630379,12200,14405.0438018831,25600000
"134","New Mexico",1982,1355000,126.789667896679,6627.15867158672,736.678966789668,5890.47970479705,22400,16131.2489332886,21700000
"135","New York",1982,17660000,158.238958097395,6467.73499433749,989.994337485844,5477.74065685164,14800,16451.6116233204,30700000
"136","North Carolina",1982,5928000,279.504048582996,4612.98920377868,453.188259109312,4159.80094466937,20300,22442.0073836853,15200000
"137","North Dakota",1982,658000,48.936170212766,2696.35258358663,62.9179331306991,2633.43465045593,12900,3677.03359231671,13800000
"138","Ohio",1982,10710000,161.690009337068,4972.8664799253,440.018674136321,4532.84780578898,12800,11645.0754936989,18800000
"139","Oklahoma",1982,3111000,208.936033429765,5333.2369013179,453.326904532305,4879.9099967856,15400,10011.8955868048,15500000
"140","Oregon",1982,2557000,152.522487289793,6803.79350801721,489.988267500978,6313.80524051623,13900,6578.24628105292,2.2e+07
"141","Pennsylvania",1982,11620000,90.4302925989673,3525.55938037866,368.046471600688,3157.51290877797,13500,10499.647996518,18100000
"142","Rhode Island",1982,942000,110.084925690021,5455.2016985138,408.59872611465,5046.60297239915,13300,4603.74322890762,21200000
"143","South Carolina",1982,3301000,276.794910633141,5201.99939412299,698.606482883975,4503.39291123902,21200,32385.0049020303,13200000
"144","South Dakota",1982,677000,116.838995568685,2699.55686853767,101.033973412112,2598.52289512555,16800,7281.54258962727,13500000
"145","Tennessee",1982,4679000,168.176960889079,4387.2194913443,418.593716606112,3968.62577473819,23600,21582.4508196168,15400000
"146","Texas",1982,15150000,238.607260726073,6356.28382838284,582.03300330033,5774.25082508251,16200,12768.6587643454,16300000
"147","Utah",1982,1575000,77.2063492063492,5262.92063492064,281.904761904762,4981.01587301587,14500,2652.60588177674,19300000
"148","Vermont",1982,519000,115.414258188825,4664.73988439306,126.204238921002,4538.53564547206,12900,520.775507426562,14500000
"149","Virginia",1982,5329000,189.134922124226,4385.11915931695,318.446237568024,4066.67292174892,12500,20457.7440617057,17600000
"150","Washington",1982,4259000,147.076778586523,6261.56374735854,405.04813336464,5856.5156139939,12900,7725.23619995471,2e+07
