,State,year,tot_pop,incar_rate,tot_crime_rate,violent_crime_rate,prop_crime_rate,pov_rate,non_white_rate,spending_rate,incarceration_rate_national
0,Alabama,1980.0,3831000.0,-1.0042461136554048,0.6058883101101138,0.06299098502794113,0.6607743620703558,2.2291478862208765,1.2267739320210171,-1.4688339408651092,-1.1418813599730089
1,Alaska,1980.0,379000.0,-0.7378814452991388,1.7463044554822669,0.31558041928933905,1.8815290909010467,-0.874163000239218,0.4823219553476746,1.780684159782402,-1.1418813599730089
2,Arizona,1980.0,2774000.0,-1.0804334711203551,2.784462239388452,0.9246230663469144,2.9278520271752346,-0.01807723845712298,-0.8981064486898888,-0.21829053186956565,-1.1418813599730089
3,Arkansas,1980.0,2249000.0,-1.2432204896556076,-0.1880375794846068,-0.45718999186749226,-0.13006963558295126,2.309405926387948,0.029182365566703606,-1.8004174205230186,-1.1418813599730089
4,California,1980.0,23750000.0,-1.3933863082790026,2.6140352242613485,2.0812886843327227,2.540723231686801,-0.49962547945955144,-0.17030610053956183,-0.27513341409663583,-1.1418813599730089
5,Colorado,1980.0,2869000.0,-1.461652081626765,2.32317701776107,0.4273251895109079,2.5017869444973533,-1.1416898007961227,-0.9183880925596816,-0.7298764719131972,-1.1418813599730089
6,Connecticut,1980.0,3090000.0,-1.1855382785293014,1.2675165832890842,-0.11817918459237783,1.4251749429857599,-1.221947840963194,-0.6899155877507063,-0.919352746003431,-1.1418813599730089
7,Delaware,1980.0,578000.0,-0.5175419648418076,2.0465285174898953,0.2329019569147744,2.2284681724434905,-0.2856040390140277,0.16031697804335823,-0.7582979130267322,-1.1418813599730089
8,Florida,1980.0,10100000.0,-0.804851723990181,2.7560956095223084,2.296481484618548,2.6613044292763917,1.0252772837148054,0.16758653764408135,-0.5877692663455217,-1.1418813599730089
9,Georgia,1980.0,5243000.0,-0.6489785327781481,1.1816353231538372,0.6217064447983168,1.2031838607676049,0.2762022421554722,0.3235693847825524,-1.4309386860470625,-1.1418813599730089
10,Hawaii,1980.0,954000.0,-1.394535917582039,2.4733469466262954,-0.6322604162948907,2.8498253397973263,-1.1684424808518132,3.8379390520412393,-0.8530360500718491,-1.1418813599730089
11,Idaho,1980.0,934000.0,-1.485699306422975,0.5040581745361581,-0.5681474971800997,0.6560683702312121,0.49022368260099597,-1.175160949686196,-1.4025172449335275,-1.1418813599730089
12,Illinois,1980.0,11260000.0,-1.3805202259762788,1.5774732490369003,1.7525817242241444,1.4481258238328356,-0.15184063873557532,0.038795906888222154,-0.37934536484626447,-1.1418813599730089
13,Indiana,1980.0,5490000.0,-1.2877433528054483,0.5565789458189635,-0.29225906366001675,0.667001539795896,-0.2856040390140277,-0.6158237197239637,-1.5635720779102262,-1.1418813599730089
14,Iowa,1980.0,2868000.0,-1.4912868916938817,0.49047943365147095,-1.0965906583458958,0.731580978473068,-0.5531308395709323,-1.093620906287569,-1.4593601271605976,-1.1418813599730089
15,Kansas,1980.0,2286000.0,-1.3607350984488913,1.0147908451471768,-0.17478824232396478,1.1547540084886159,-0.927668360350599,-0.7158907776323667,-1.506729195683156,-1.1418813599730089
16,Kentucky,1980.0,3641000.0,-1.4217245640196015,-0.5021931821378831,-0.8004839764177254,-0.4194483450406626,1.7208469651627576,-0.6843316015793937,-1.4404124997515741,-1.1418813599730089
17,Louisiana,1980.0,4273000.0,-0.789075675701945,0.8846592366199828,1.0012462717407358,0.8089694455682102,1.9883737657196623,0.982822048013086,-0.9667218145259895,-1.1418813599730089
18,Maine,1980.0,1077000.0,-1.554422811583626,0.3062672931546534,-1.1029898663338125,0.5284960090818775,0.4634710025453055,-1.1705028154722763,-1.5825197053192497,-1.1418813599730089
19,Maryland,1980.0,4104000.0,-0.9026233990528174,1.9019803962526698,2.012841311235655,1.7632084773429018,-0.9009156802949085,0.5967874031896235,-0.57829545264101,-1.1418813599730089
20,Massachusetts,1980.0,5725000.0,-1.6696877601481843,1.4050788937454632,0.7594978632401279,1.4272354524862882,-0.9009156802949085,-0.8790766391004586,-0.5877692663455217,-1.1418813599730089
21,Michigan,1980.0,9227000.0,-1.0440061282470996,1.8329379055591053,0.9361975250357587,1.8711941299921904,0.008675441598567491,-0.14204230174811036,-0.37934536484626447,-1.1418813599730089
22,Minnesota,1980.0,3920000.0,-1.6961954044686076,0.6055417858288373,-0.9436741362852491,0.8329101850062236,-1.1149371207404324,-1.1088144756662013,-1.2130409708432934,-1.1418813599730089
23,Mississippi,1980.0,2429000.0,-1.062890480485832,-0.4308771553108572,-0.3959737896088214,-0.40972531597056516,3.0584809679472813,1.1791088131096716,-1.7341007245914366,-1.1418813599730089
24,Missouri,1980.0,4800000.0,-1.3018357402859382,1.019880554373537,0.5943638369518345,1.028579984476577,0.03542812165425796,-0.3301485860948743,-0.9667218145259895,-1.1418813599730089
25,Montana,1980.0,774000.0,-1.4394433650451384,0.67854656364512,-0.9956682687949582,0.9227396757489773,0.08893348176563891,-0.8379881397879994,-1.260410039365852,-1.1418813599730089
26,National,1980.0,224410000.0,-1.1418813599730089,1.327474844776405,0.7478238987122284,1.3432193962150434,0.03169674210012439,-1.252270326936589,,-1.1418813599730089
